Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
features_all_postprocessed1,1,1,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-1.1588E+17,2.02E+07,90,11,2,9,0,18.18181818,81.81818182,0,-0.03125,0.314105798,0.424960646,98.15806172,106.2401616,25.54120904,29.73959139,-4.198382345,2.321928095,2.703599217,-0.381671122,2.918594538,0.265326776,125.697025,0,0,0.222222222,2,0.777777778,7,1,2,0,0,0,-0.222222222,0.444444444,0.226190476,0.181818182,0.20959596,0.79040404,0.818181818,0.151515152,0.181818182,0.163636364,-0.041446006,0.560606061,0.350983865,0.146666667,0.181818182,0.016,0,0.015625,0,15.625,0,42935,23902,5179,90.90909091,85.45454545,?,-1
features_all_postprocessed1,1,2,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-1.1588E+17,2.02E+07,91,10,3,7,0,30,70,0,0.125,0.291823996,0.387102408,91.19499885,96.77035194,23.22234871,20.45932853,2.763020185,2.322234871,2.045932853,0.276302018,4.541275251,0.454127525,195.6081862,0.5,1,0.25,2,0.75,6,0.5,1,0.333333333,0.5,0.4,0.21821789,0.625,0.625,0.3,0.175,0.825,0.7,0.2,0.3,0.24,0.079729435,0.725,0.526904762,0.24,0.3,0.016,0,0.015625,0,15.625,0,41755,24139,4942,100,88,?,-1
features_all_postprocessed1,1,3,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-1.1588E+17,2.02E+07,91,10,2,8,0,20,80,0,0,0.307506647,0.405249322,96.0958273,101.3068343,23.22234871,23.17445037,0.047898343,2.322234871,2.317445037,0.004789834,2.979284942,0.297928494,128.3279457,0,0,0.25,2,0.75,6,1,2,0,0,0,-0.25,0.5625,0.30952381,0.2,0.2,0.8,0.8,0.08,0.2,0.114285714,-0.05,0.625,0.360238095,0.114285714,0.2,0.015,0,0.015625,0,15.625,0,42475,24139,4942,100,92,?,-1
features_all_postprocessed1,1,4,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-1.1588E+17,2.02E+07,91,10,3,7,0,30,70,0,0.125,0.297296326,0.386422048,92.90510187,96.60027126,23.22234871,21.45041523,1.771933481,2.322234871,2.145041523,0.177193348,3.910342561,0.391034256,168.4317672,0.5,1,0,0,1,8,0.5,1,1,0.5,0.666666667,0.666666667,0.5625,0.611111111,0.3,0.175,0.825,0.7,0.35,0.3,0.3,0.145412415,0.6625,0.443888889,0.3,0.3,0.016,0,0.015625,0,15.625,0,45085,24139,4942,100,96,?,-1
features_all_postprocessed1,1,5,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-1.1588E+17,2.02E+07,91,10,4,6,0,40,60,0,0.25,0.295848966,0.401568556,92.45280179,100.3866929,23.22234871,23.60955393,-0.387205221,2.322234871,2.360955393,-0.038720522,3.945133559,0.394513356,169.9303339,0,0,0,0,1,8,1,2,0,0,0,0,0.4375,0.277777778,0.4,0.15,0.85,0.6,0.246666667,0.4,0.294285714,0.218643578,0.6,0.440793651,0.294285714,0.4,0,0,0,0,0,0,47395,24139,4942,90,84,?,-1
features_all_postprocessed1,1,6,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-1.1588E+17,2.02E+07,91,10,4,6,0,40,60,0,0.25,0.26569709,0.360021694,83.03034056,90.00054085,23.22234871,17.31528996,5.90705875,2.322234871,1.731528996,0.590705875,6.642214743,0.664221474,286.102803,0.5,1,0.25,2,0.75,6,0.5,1,0.333333333,0.5,0.4,0.21821789,0.8125,0.7,0.4,0.15,0.85,0.6,0.4,0.4,0.373333333,0.264264067,0.7625,0.62,0.373333333,0.4,0.022,0,0.03125,0,31.25,0,42650,24139,4942,100,80,?,-1
features_all_postprocessed1,1,7,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-1.1588E+17,2.02E+07,91,10,4,6,0,40,60,0,0.25,0.278212318,0.371804807,86.9413493,92.94615925,23.22234871,19.02112505,4.201223663,2.322234871,1.902112505,0.420122366,5.722034239,0.572203424,246.4674958,0,0,0.25,2,0.75,6,1,2,0,0,0,-0.25,0.375,0.226190476,0.4,0.15,0.85,0.6,0.233333333,0.4,0.293333333,0.191893677,0.75,0.603571429,0.293333333,0.4,0.016,0,0.015625,0,15.625,0,42550,24139,4942,100,88,?,-1
features_all_postprocessed1,1,8,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-1.1588E+17,2.02E+07,91,10,6,4,0,60,40,0,0.5,0.250237299,0.344154511,78.19915594,86.03396029,23.22234871,15.37315126,7.849197448,2.322234871,1.537315126,0.784919745,8.578677626,0.857867763,369.5128522,0,0,0,0,1,8,1,2,0,0,0,0,0.75,0.666666667,0.6,0.1,0.9,0.4,0.58,0.6,0.547619048,0.508333333,0.85,0.738333333,0.547619048,0.6,0,0,0,0,0,0,41705,24139,4942,100,82,?,-1
features_all_postprocessed1,1,9,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-1.1588E+17,2.02E+07,91,10,6,4,0,60,40,0,0.5,0.255944139,0.359289504,79.98254339,89.81750318,23.22234871,23.21817053,0.004178182,2.322234871,2.321817053,4.18E-04,7.872040911,0.787204091,339.0756031,0.5,1,0,0,1,8,0.5,1,1,0.5,0.666666667,0.666666667,0.875,0.75,0.6,0.1,0.9,0.4,0.7,0.6,0.606666667,0.538062768,0.7125,0.69,0.606666667,0.6,0.015,0,0.015625,0,15.625,0,45630,24139,4942,80,84,?,-1
features_all_postprocessed1,1,10,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-1.1588E+17,2.02E+07,91,10,2,8,0,20,80,0,0,0.315456162,0.430124291,98.58005061,107.5252394,23.22234871,25.90505811,-2.682709398,2.322234871,2.590505811,-0.26827094,2.27225281,0.227225281,97.87366461,0,0,0,0,1,8,1,2,0,0,0,0,0.4375,0.277777778,0.2,0.2,0.8,0.8,0.15,0.2,0.166666667,-0.003386286,0.5875,0.365793651,0.166666667,0.2,0.016,0,0.015625,0,15.625,0,36575,24139,4942,100,88,?,-1
