Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_incorrect,Number_correct,Number_unclassified,Percent_incorrect,Percent_correct,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError,measureBestNumIts,measureBestVal
features_all_postprocessed1,1,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.12E+18,2.02E+07,90,11,5,6,0,45.45454545,54.54545455,0,0.3125,0.281101203,0.384109385,87.84412592,96.02734636,25.54120904,22.0384146,3.502794448,2.321928095,2.003492236,0.318435859,5.039103222,0.458100293,217.0223632,0,0,0.111111111,1,0.888888889,8,1,2,0,0,0,-0.149071198,0.444444444,0.226190476,0.454545455,0.148989899,0.851010101,0.545454545,0.393939394,0.454545455,0.418181818,0.277001261,0.637626263,0.438311688,0.426666667,0.454545455,0.051,0.001,0.046875,0.015625,46.875,15.625,477744,23902,5179,100,83.63636364,?,-1,?,?
features_all_postprocessed1,1,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.12E+18,2.02E+07,91,10,6,4,0,60,40,0,0.5,0.231476152,0.325932489,72.33629751,81.47870182,23.22234871,14.66699588,8.555352826,2.322234871,1.466699588,0.855535283,9.687719911,0.968771991,417.2830792,0.5,1,0.375,3,0.625,5,0.5,1,0.25,0.5,0.333333333,0.102062073,0.9375,0.833333333,0.6,0.1,0.9,0.4,0.583333333,0.6,0.56,0.506498271,0.88125,0.761904762,0.56,0.6,0.043,0,0.046875,0,46.875,0,486916,24139,4942,100,76,?,-1,?,?
features_all_postprocessed1,1,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.12E+18,2.02E+07,91,10,6,4,0,60,40,0,0.5,0.268615561,0.368724792,83.94236274,92.17619715,23.22234871,18.57594329,4.64640542,2.322234871,1.857594329,0.464640542,6.395757587,0.639575759,275.4870542,0,0,0.25,2,0.75,6,1,2,0,0,0,-0.25,0.5,0.291666667,0.6,0.1,0.9,0.4,0.6,0.6,0.6,0.5,0.7625,0.581666667,0.6,0.6,0.041,0,0.046875,0,46.875,0,483970,24139,4942,100,84,?,-1,?,?
features_all_postprocessed1,1,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.12E+18,2.02E+07,91,10,2,8,0,20,80,0,0,0.302200465,0.403022777,94.43764524,100.7502285,23.22234871,22.00218007,1.220168636,2.322234871,2.200218007,0.122016864,3.247279515,0.324727951,139.8713843,0.5,1,0.25,2,0.75,6,0.5,1,0.333333333,0.5,0.4,0.21821789,0.4375,0.35,0.2,0.2,0.8,0.8,0.166666667,0.2,0.18,-0.014689755,0.65,0.405238095,0.18,0.2,0.041,0,0.03125,0,31.25,0,476835,24139,4942,100,90,?,-1,?,?
features_all_postprocessed1,1,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.12E+18,2.02E+07,91,10,5,5,0,50,50,0,0.375,0.278935194,0.390286435,87.16724821,97.5663156,23.22234871,24.38834523,-1.165996522,2.322234871,2.438834523,-0.116599652,5.815326415,0.581532642,250.4859075,0.5,1,0.125,1,0.875,7,0.5,1,0.5,0.5,0.5,0.375,0.6875,0.416666667,0.5,0.125,0.875,0.5,0.5,0.5,0.466666667,0.372474487,0.625,0.492222222,0.466666667,0.5,0.042,0.001,0.03125,0,31.25,0,479037,24139,4942,80,78,?,-1,?,?
features_all_postprocessed1,1,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.12E+18,2.02E+07,91,10,5,5,0,50,50,0,0.375,0.256648371,0.368304547,80.20261589,92.07114179,23.22234871,17.9168827,5.305466007,2.322234871,1.79168827,0.530546601,7.267310548,0.726731055,313.0278075,0.5,1,0.125,1,0.875,7,0.5,1,0.5,0.5,0.5,0.375,0.5625,0.375,0.5,0.125,0.875,0.5,0.5,0.5,0.473333333,0.371396101,0.76875,0.606666667,0.473333333,0.5,0.047,0.001,0.046875,0,46.875,0,481141,24139,4942,100,78,?,-1,?,?
features_all_postprocessed1,1,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.12E+18,2.02E+07,91,10,4,6,0,40,60,0,0.25,0.278737529,0.382687156,87.10547775,95.66659901,23.22234871,21.75575796,1.466590754,2.322234871,2.175575796,0.146659075,6.056965688,0.605696569,260.8941337,0,0,0.25,2,0.75,6,1,2,0,0,0,-0.25,0.28125,0.196428571,0.4,0.15,0.85,0.6,0.4,0.4,0.4,0.268350342,0.71875,0.630952381,0.4,0.4,0.05,0.001,0.0625,0,62.5,0,488345,24139,4942,80,74,?,-1,?,?
features_all_postprocessed1,1,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.12E+18,2.02E+07,91,10,5,5,0,50,50,0,0.375,0.24709521,0.356217775,77.21725307,89.04961252,23.22234871,15.98967406,7.232674654,2.322234871,1.598967406,0.723267465,8.365041739,0.836504174,360.3108272,0,0,0,0,1,8,1,2,0,0,0,0,0.6875,0.416666667,0.5,0.125,0.875,0.5,0.346666667,0.5,0.394285714,0.343643578,0.85,0.716666667,0.394285714,0.5,0.043,0.001,0.046875,0,46.875,0,483588,24139,4942,100,78,?,-1,?,?
features_all_postprocessed1,1,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.12E+18,2.02E+07,91,10,5,5,0,50,50,0,0.375,0.240122061,0.362745084,75.03814404,90.6813514,23.22234871,20.45253976,2.769808952,2.322234871,2.045253976,0.276980895,8.839182471,0.883918247,380.7336828,0.5,1,0.25,2,0.75,6,0.5,1,0.333333333,0.5,0.4,0.21821789,0.75,0.416666667,0.5,0.125,0.875,0.5,0.466666667,0.5,0.453333333,0.373373013,0.75,0.586904762,0.453333333,0.5,0.043,0,0.046875,0,46.875,0,494090,24139,4942,80,68,?,-1,?,?
features_all_postprocessed1,1,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1.12E+18,2.02E+07,91,10,4,6,0,40,60,0,0.25,0.277833076,0.397724906,86.82283614,99.42583235,23.22234871,22.85154108,0.370807632,2.322234871,2.285154108,0.037080763,5.64766013,0.564766013,243.2639497,0,0,0.25,2,0.75,6,1,2,0,0,0,-0.25,0.5,0.291666667,0.4,0.15,0.85,0.6,0.366666667,0.4,0.346666667,0.249451399,0.6625,0.468571429,0.346666667,0.4,0.04,0.001,0.03125,0,31.25,0,473154,24139,4942,80,76,?,-1,?,?
